mp_norm,mp_name_works,state,total_sanctioned_amount,number_of_works,average_work_amount,maximum_work_amount,allocated_amt,allocated_amount,is_allocation_matched,utilization_percentage,remaining_amount,utilization_alert,fund_utilization_score
ambica g lakshminarayana valmiki,AMBICA G LAKSHMINARAYANA VALMIKI,Andhra Pradesh,37466186.0,42,892052.0476190476,4000000.0,201899064.11,201899064.11,True,18.55688938686086,164432878.11,NORMAL,15.0
amit shah,Shri Amit Shah,Gujarat,4952769.0,26,190491.11538461538,200000.0,147000000.0,147000000.0,True,3.369230612244898,142047231.0,NORMAL,15.0
amol ramsing kolhe,Amol Ramsing Kolhe,Maharashtra,21380568.0,26,822329.5384615385,1000000.0,147000000.0,147000000.0,True,14.544604081632654,125619432.0,NORMAL,15.0
amraram,AMRARAM,Rajasthan,37327968.0,70,533256.6857142857,1500000.0,165691544.11,165691544.11,True,22.52858961542331,128363576.11000001,NORMAL,15.0
amrinder singh raja warring,AMRINDER SINGH RAJA WARRING,Punjab,42405479.0,111,382031.34234234237,2500000.0,147000000.0,147000000.0,True,28.84726462585034,104594521.0,NORMAL,15.0
anand bhadauriya,ANAND BHADAURIYA,Uttar Pradesh,49309476.33,142,347249.83330985915,2589833.0,147000000.0,147000000.0,True,33.54386144897959,97690523.67,NORMAL,15.0
anand kumar,ANAND KUMAR,Uttar Pradesh,42235088.0,34,1242208.4705882352,2493857.0,147000000.0,147000000.0,True,28.73135238095238,104764912.0,NORMAL,15.0
ananta nayak,ANANTA NAYAK,Odisha,32290000.0,106,304622.641509434,1000000.0,147000000.0,147000000.0,True,21.965986394557824,114710000.0,NORMAL,15.0
andimuthu raja,Andimuthu Raja,Tamil Nadu,44709830.0,48,931454.7916666666,2000000.0,147000000.0,147000000.0,True,30.414850340136056,102290170.0,NORMAL,15.0
andrew j syngkon,ANDREW J. SYNGKON,Meghalaya,44150000.0,113,390707.9646017699,1000000.0,98000000.0,98000000.0,True,45.05102040816327,53850000.0,NORMAL,15.0
angomcha bimol akoijam,ANGOMCHA BIMOL AKOIJAM,Manipur,38301644.0,13,2946280.3076923075,4991644.0,147000000.0,147000000.0,True,26.05554013605442,108698356.0,NORMAL,15.0
